"trt.name","mu","k","temporal.block","day.1","day.2","day.3","day.4","day.5","day.6","day.7","day.8","day.9","day.10","day.11","day.12","day.13","day.14","day.15","day.16","day.17","day.18","day.19","day.20","day.21","day.22","day.23","day.24","day.25","day.26","day.27","day.28","day.29","day.30","day.31","day.32","day.33","day.34","day.35","day.36","day.37","day.38","day.39","day.40","day.41","day.42","day.43","day.44","day.45","day.46","day.47","day.48","day.49","day.50","day.51","day.52","day.53","day.54","day.55","day.56","day.57","day.58","day.59","day.60","day.61","day.62","day.63","day.64","day.65","day.66","day.67","day.68"
"mu0.1k0.5",0.83,0.13,"a","1.5","sample","17.53","0","0","0","0","0","0","0","2","0","4","0","2","0","1","0","0","1","0","3","0","0","0","0","0","0","0","0","0","5","0","0","6","0","0","0","0","0","0","0","2","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","sample",NA,"insects",NA,NA
"mu0.2k0.5",1.65,0.13,"c",NA,NA,"1.5","sample","29.08","0","0","0","0","0","0","0","3","0","7","0","3","0","1","0","0","1","0","5","1","0","0","0","0","1","0","0","0","8","0","0","23","0","0","0","0","0","0","0","4","1","0","6","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","sample",NA,"insects"
"mu0.4k0.5",3.31,0.13,"b",NA,"1.5","sample","57.19","0","0","0","0","0","0","0","6","0","16.78","0","7","1","2","0","0","3","0","9","2","1","0","0","0","2","0","0","0","21.91","0","0","30.63","0","1","0","1","0","0","0","8","1","0","15.68","0","3","0","0","0","0","0","0","0","0","0","0","0","5","4","0","0","sample",NA,"insects",NA
"mu0.6k0.5",4.96,0.13,"a","1.5","sample","85.28","0","0","1","0","0","0","0","8","0","25.03","0","9","1","3","0","0","4","0","19.82","2","1","0","0","0","3","0","0","0","32.71","0","0","45.69","0","1","0","2","0","0","0","10","2","0","22.75","0","5","0","0","0","0","0","0","0","0","0","0","1","7","6","0","0","sample",NA,"insects",NA,NA
"mu0.8k0.5",6.61,0.13,"b",NA,"1.5","sample","113.38","0","0","1","0","0","0","0","9","0","33.31","0","10","1","4","0","0","5","0","26.36","3","1","0","0","0","3","0","0","0","43.5","0","0","60.75","0","2","0","2","0","0","0","21.25","2","0","31.84","0","6","0","0","0","1","0","0","0","0","0","0","1","8","7","0","0","sample",NA,"insects",NA
"mu1k0.5",8.26,0.13,"a","1.5","sample","141.47","0","0","1","0","0","0","0","17.85","0","41.57","0","19.04","1.32","6","0","0","7","0","26.53","4","2","0","0","0","5","0","0","0","54.28","0","0","75.81","0","2","0","3","0","1","0","21.7","3","0","32.91","0","8","0","0","0","1","0","0","0","0","0","0","1","10","9","0","0","sample",NA,"insects",NA,NA
"mu1.5k0.5",12.4,0.13,"a","1.5","sample","211.7","0","0","2","0","0","0","0","22.15","0","62.22","0","26.75","3","8","1","0","9","0","39.76","7","3","0","0","0","7.47","0","0","0","81.26","0","0","113.45","0","4","0","5","0","1","0","32.49","6","0","49.26","0","10","0","0","0","1","0","0","1","0","0","0","2","18.42","15.32","0","0","sample",NA,"insects",NA,NA
"mu2k0.5",16.53,0.13,"c",NA,NA,"1.5","sample","281.93","0","0","2","0","0","0","0","29.52","0","82.89","0","35.66","3","10","1","0","14.78","0","52.96","8","4","0","0","0","9","0","0","0","108.22","0","0","151.1","0","5","0","6","0","1","0","43.27","7","0","65.62","0","17.05","0","1","0","2","0","0","1","0","0","0","3","24.55","20.44","0","0","sample",NA,"insects"
"mu2.5k0.5",20.66,0.13,"a","1.5","sample","352.16","0","0","3","0","0","0","0","36.9","0","103.55","0","44.56","4","17.19","1","0","17.74","0","66.17","9","5","0","0","0","10","0","0","0","135.19","1","0","188.75","0","6","0","7","0","2","0","54.06","8","0","81.97","0","21.31","0","1","0","2","0","0","1","0","0","0","3","30.66","25.55","0","0","sample",NA,"insects",NA,NA
"mu3k0.5",24.79,0.13,"b",NA,"1.5","sample","422.39","0","0","3","0","0","0","0","44.26","0","124.2","0","53.45","4","21.32","1","0","25.57","0","79.38","9","5","0","0","0","10","0","0","0","162.16","1","0","226.39","0","6","0","7","0","2","0","64.86","8","0","98.33","0","30.63","0","1","0","2","0","0","1","0","0","0","3","36.81","33.74","0","0","sample",NA,"insects",NA
"mu0.1k1",0.83,0.26,"c",NA,NA,"1.5","sample","10.84","0","0","0","0","0","0","0","2","0","4","0","2","0","1","0","0","1","0","3","1","0","0","0","0","1","0","0","0","5","0","0","6","0","1","0","1","0","0","0","2","1","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1.74","0","0","sample",NA,"insects"
"mu0.2k1",1.65,0.26,"a","1.5","sample","19.82","0","0","1","0","0","0","0","4","0","8","0","4","1","2","0","0","2","0","6","2","1","0","0","0","2","0","0","0","9","0","0","11.35","0","1","0","1","0","0","0","5","1","0","7","0","3","0","0","0","1","0","0","0","0","0","0","1","3","3","0","0","sample",NA,"insects",NA,NA
"mu0.4k1",3.31,0.26,"a","1.5","sample","38.41","0","0","1","0","0","0","0","8","0","13.34","0","9","2","4","1","0","5","0","11","3","2","0","0","0","4","0","0","0","18.19","1","0","23.4","0","2","0","3","0","1","0","10","3","0","12","0","5","0","1","0","1","0","0","1","0","0","0","2","7","6","0","0","sample",NA,"insects",NA,NA
"mu0.6k1",4.96,0.26,"b",NA,"1.5","sample","56.97","0","0","2","0","0","0","0","10","1","27.01","0","11","3","6","1","0","6","0","13","5","3","0","0","0","5","0","0","0","34.73","1","0","40.78","0","3","0","4","0","2","0","12","4","0","14","0","7","0","1","0","2","1","0","1","0","0","1","2","9","8","0","1","sample",NA,"insects",NA
