"trt.name","mu","k","temporal.block","day.1","day.2","day.3","day.4","day.5","day.6","day.7","day.8","day.9","day.10","day.11","day.12","day.13","day.14","day.15","day.16","day.17","day.18","day.19","day.20","day.21","day.22","day.23","day.24","day.25","day.26","day.27","day.28","day.29","day.30","day.31","day.32","day.33","day.34","day.35","day.36","day.37","day.38","day.39","day.40","day.41","day.42","day.43","day.44","day.45","day.46","day.47","day.48","day.49","day.50","day.51","day.52","day.53","day.54","day.55","day.56","day.57","day.58","day.59","day.60","day.61","day.62","day.63","day.64","day.65","day.66","day.67","day.68"
"mu0.1k0.5",0.89,0.25,"c",NA,NA,"3.5","sample","11.44","0","1","0","0","0","0","3","1","0","0","4","0","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","1","3","0","0","1","0","0","0","0","0","0","6","2","1","0","0","0","0","0","0","0","0","0","2","0","2","5","0","5.11","0","sample",NA,"insects"
"mu0.2k0.5",1.79,0.25,"b",NA,"3.5","sample","21.72","1","2","0","0","0","0","6","2","0","0","7","0","1","0","0","0","0","1","3","0","0","2","1","0","0","0","0","0","0","0","1","5","0","0","3","0","0","1","0","0","0","17.38","4","2","0","0","0","0","1","0","0","0","1","4","0","3","8","0","9","0","sample",NA,"insects",NA
"mu0.4k0.5",3.57,0.25,"a","3.5","sample","42.19","2","4","0","0","0","1","11","5","0","0","12","0","3","1","0","0","0","2","6","0","0","4","2.7","1","0","0","0","0","0","0","3","10","0","0","5","0","0","2","0","0","0","25.75","8","3","0","1","0","0","1","1","0","0","2","9","1","7","13","0","25.57","0.5","sample",NA,"insects",NA,NA
"mu0.6k0.5",5.36,0.25,"c",NA,NA,"3.5","sample","62.66","2","5","0","0","0","1","14","7","0","0","24.15","0","4","1","0","0","0","3","9","0","0","6","3","1","0","0","0","0","0","0","4","13","0","0","8","0","0","3","0","0","1","38","11","5","0","1","0","0","2","1","1","0","2","12","2","10","29.47","0","35.05","1","sample",NA,"insects"
"mu0.8k0.5",7.14,0.25,"a","3.5","sample","83.12","3","8","0","0","1","1","27.1","10","0","0","32.1","0","5","2","0","0","0","4","12","0","0","9","5","1","0","0","0","0","1","0","6","16","0","0","11","0","0","4","0","0","1","50.44","14","7","0","2","0","0","3","2","1","0","3","15","2","13","34.6","0","39.08","1","sample",NA,"insects",NA,NA
"mu1k0.5",8.93,0.25,"c",NA,NA,"3.5","sample","103.59","4","9","0","0","1","1","33.8","11","0","0","40.01","0","6","2","0","0","0","5","13","0","0","10","5","2","0","0","0","0","1","0","7","29.07","0","0","12","0","0","4","0","0","1","62.86","15","8","1","2","0","0","3","2","1","0","3","16","3","14","48.72","0","55.49","1","sample",NA,"insects"
"mu1.5k0.5",13.39,0.25,"a","3.5","sample","154.74","7","14","0","0","1","2","43.49","16","0","0","50.55","0","11","4","0","0","0","9","25.97","0","0","15","10","3","0","0","1","0","1.14","0","12","37.83","0","0","17","0","0","8","1","1","2","93.93","29.32","13","1","3","0","0","5","4","2","0","6","33.18","5","27.56","59.79","0","72.82","2","sample",NA,"insects",NA,NA
"mu2k0.5",17.85,0.25,"c",NA,NA,"3.5","sample","205.89","9","16","1","0","2","3","57.88","27.42","0","0","67.28","0","13","5","0","0","0","11","34.59","0","0","17","12","4","0","0","1","0","2","0","14","50.37","0","0","30.73","0","0","10","1","1","2","124.99","39.22","15","1","4","0","0","7","5","3","0","8","44.21","6","39","79.59","0","96.91","3","sample",NA,"insects"
"mu2.5k0.5",22.31,0.25,"b",NA,"3.5","sample","257.04","11","27.35","1","0","2","4","72.28","34.26","0","0","84.02","0","15","6","0","0","0","13","40.43","0","0","30.57","14","4","0","0","1","0","2","0","16","62.91","0","0","38.42","0","0","12","1","1","3","156.05","48.72","17","2","5","1","0","9","7","3","0","10","55.2","8","43.2","99.38","0","121.01","3.5","sample",NA,"insects",NA
"mu3k0.5",26.78,0.25,"b",NA,"3.5","sample","308.19","12","32.8","1","0","2","4","86.68","41.07","0","0","100.76","0","16","7","0","0","0","14","51.82","0","0","36.7","15","5","0","0","1","0","3","0","17","75.45","1","0","46.11","0","0","13","1","2","3","187.12","58.44","29.36","2","6","1","0","10","8","4","0","11","66.19","9","53.65","119.17","0","145.1","4","sample",NA,"insects",NA
