"trt.name","intended.mu","intended.k","temporal.block","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
"mu0.1k0.5",0.82,0.15,"c",NA,NA,2,NA,NA,NA,15.94,1,0,0,0,0,0,0,0,0,0,1,0,5,0,2,1,3,0,0,0,4,6,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"mu0.2k0.5",1.63,0.15,"a",2,NA,NA,NA,26.08,1,0,0,0,1,0,0,0,0,0,1,0,9.35,0,5,2,6,0,0,0,8,14.45,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,NA,NA
"mu0.4k0.5",3.26,0.15,"c",NA,NA,2,NA,NA,NA,51.09,3,0,0,1,2,1,0,0,0,0,3,0,20.81,0,9,4,9.2,0,0,0,16.3,28.37,0,0,4,0,8,0,5,0,0,0,0,0,0,0,1,0,0,0,2,10,6,0,0,0,0,0,2,0,1,1,0,7,0,0,0,0,0,0
"mu0.6k0.5",4.9,0.15,"a",2,NA,NA,NA,76.1,4,0,0,1,3,1,0,0,0,0,4,0,31.01,0,11,6,19.37,0,0,0,24.28,42.29,0,0,5,0,10,0,7,0,0,0,0,0,0,1,2,0,0,0,2,19.61,8,0,0,0,0,0,3,0,1,2,0,9,0,1,0,0,0,0,NA,NA
"mu0.8k0.5",6.53,0.15,"b",NA,2,NA,NA,NA,101.11,4,0,0,2,4,1,0,0,0,0,5,0,41.66,0,12,7,26.09,0,0,0,41.23,56.19,0,0,6,0,11,0,8,0,0,0,0,0,0,1,2,0,0,0,3,32.27,9,0,0,0,0,0,3,0,1,2,0,10,0,1,0,0,1,0,NA
"mu1k0.5",8.16,0.15,"a",2,NA,NA,NA,126.11,5,0,0,2,4,1,0,0,0,0,6,0,51.44,0,26.8,8,32.55,0,0,0,49.18,70.1,0,0,7,1,12,0,9,0,0,0,0,0,0,1,2,0,0,0,3,40.26,10,0,0,0,0,0,4,0,2,3,0,11,0,1,0,0,1,0,NA,NA
"mu1.5k0.5",12.24,0.15,"a",2,NA,NA,NA,188.63,8,0,0,3,7,2,0,0,0,0,9,1,76.97,0,40.13,11,40.27,0,0,0,60.24,104.86,0,0,10,1,33.45,0,12,0,0,0,0,0,0,1,3,0,0,0,5,48.7,23.79,0,0,1,0,0,6,0,2,4,0,28.12,0,2,0,0,1,0,NA,NA
"mu2k0.5",16.32,0.15,"c",NA,NA,2,NA,NA,NA,251.14,11,0,0,5,10,3,0,0,0,0,12,1,102.48,1,44.56,19.53,53.43,0,0,0,80.23,139.63,0,0,16,2,37.49,0,22.91,0,1,0,0,0,0,2,6,0,0,0,8,64.86,26.92,0,0,1,0,0,9,0,4,7,0,31.69,0,3,0,0,2,1
"mu2.5k0.5",20.4,0.15,"b",NA,2,NA,NA,NA,313.66,12,0,0,6,11,4,0,0.94,0,0,20.81,1,128,1,55.67,24.43,66.75,0,0,0,100.22,174.4,0,0,22.99,2,46.83,0,28.66,0,1,0,0,0,0,3,7,0,0,0,9,81.01,33.62,0,0,1,0,0,10,0,5,8,0,39.63,0,3,0,0,2,1,NA
"mu3k0.5",24.48,0.15,"c",NA,NA,2,NA,NA,NA,376.17,21.35,0,0,7,12,5,0,1,0,0,25.01,2,153.53,1,66.78,29.29,80.06,0,0,0,120.2,209.16,0,0,25.18,2,56.18,0,34.37,0,1,0,0,0,0,3,8,0,0,0,10,97.17,40.35,0,0,1,0,0,11,0,6,9,0,47.51,0,4,0,0,3,1
"mu0.1k1",0.82,0.31,"b",NA,2,NA,NA,NA,9.06,1,0,0,0,1,0,0,0,0,0,1,0,5,0,2,1,3,0,0,0,4,6,0,0,1,0,2,0,1.89,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,NA
"mu0.2k1",1.63,0.31,"c",NA,NA,2,NA,NA,NA,21.9,2,0,0,1,2,1,0,0,0,0,2,0,8,0,5,3,5,0,0,0,7,9,0,0,2,0,4,0,3,0,0,0,0,0,0,1,1,0,0,0,1,6,3,0,0,0,0,0,2,0,1,1,0,4,0,1,0,0,1,0
