"trt.name","mu","k","temporal.block","day.1","day.2","day.3","day.4","day.5","day.6","day.7","day.8","day.9","day.10","day.11","day.12","day.13","day.14","day.15","day.16","day.17","day.18","day.19","day.20","day.21","day.22","day.23","day.24","day.25","day.26","day.27","day.28","day.29","day.30","day.31","day.32","day.33","day.34","day.35","day.36","day.37","day.38","day.39","day.40","day.41","day.42","day.43","day.44","day.45","day.46","day.47","day.48","day.49","day.50","day.51","day.52","day.53","day.54","day.55","day.56","day.57","day.58","day.59","day.60","day.61","day.62","day.63","day.64","day.65","day.66","day.67","day.68"
"mu0.1k0.5",0.3,0.05,"c",NA,NA,"0","sample","9.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects"
"mu0.2k0.5",0.6,0.05,"b",NA,"0","sample","16.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","6.36","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","sample",NA,"insects",NA
"mu0.4k0.5",1.2,0.05,"b",NA,"0","sample","32.23","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","0","0","2.56","0","0","0","0","0","0","0","13.84","0","0","0","0","0","0","0","0","8.08","0","0","0","0","0","0","3","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","sample",NA,"insects",NA
"mu0.6k0.5",1.8,0.05,"c",NA,NA,"0","sample","48.11","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","7.55","0","0","3","0","0","0","0","0","0","0","20.65","0","0","0","0","0","0","0","0","12.06","0","0","0","0","0","1","4","0","1","0","0","0","0","0","2.31","0","0","0","0","0","0","0","0","sample",NA,"insects"
"mu0.8k0.5",2.41,0.05,"b",NA,"0","sample","63.98","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","10.05","0","0","4","0","0","0","0","0","0","0","27.46","0","0","0","0","0","0","0","0","16.04","0","0","0","0","0","1","7.12","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","sample",NA,"insects",NA
"mu1k0.5",3.01,0.05,"a","0","sample","79.85","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","12.57","0","0","4","0","0","0","0","0","0","0","34.27","0","0","0","0","0","0","0","0","20.01","0","0","1","0","0","1","8.2","0","2","0","0","0","0","0","3.73","0","0","0","0","0","0","0","0","sample",NA,"insects",NA,NA
"mu1.5k0.5",4.51,0.05,"a","0","sample","119.66","0","0","0","0","0","0","0","0","3.61","0","0","0","0","0","0","0","18.84","0","0","8.11","0","0","0","0","0","0","0","51.31","0","0","0","0","0","1","0","0","29.97","0","0","1","0","0","2","12.25","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","0","sample",NA,"insects",NA,NA
"mu2k0.5",6.02,0.05,"b",NA,"0","sample","159.34","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","25.11","0","0","10.78","0","0","0","0","0","0","0","68.33","1","0","0","0","0","1","0","0","39.9","0","0","1.76","0","0","2","16.32","0","3","0","0","0","0","0","7.15","0","0","0","0","0","0","0","0","sample",NA,"insects",NA
"mu2.5k0.5",7.52,0.05,"c",NA,NA,"0","sample","199.02","0","0","0","0","0","0","0","0","5.24","0","0","0","0","0","0","0","31.37","0","0","13.45","0","0","0","0","0","0","0","85.35","1","0","0","0","0","1","0","0","49.84","0","0","2","0","0","3","20.4","0","4","0","0","0","0","0","8.95","0","0","0","0","0","0","0","0","sample",NA,"insects"
"mu3k0.5",9.02,0.05,"b",NA,"0","sample","238.69","0","0","0","0","0","0","0","0","8.73","0","0","0","0","0","0","0","37.62","0","0","16.14","0","0","0","0","0","0","0","102.36","1","0","0","0","0","1","0","0","59.79","0","0","2","0","0","3","24.47","0","4","0","0","0","0","0","10.74","0","0","0","0","0","0","0","0","sample",NA,"insects",NA
