"trt.name","mu","k","temporal.block","day.1","day.2","day.3","day.4","day.5","day.6","day.7","day.8","day.9","day.10","day.11","day.12","day.13","day.14","day.15","day.16","day.17","day.18","day.19","day.20","day.21","day.22","day.23","day.24","day.25","day.26","day.27","day.28","day.29","day.30","day.31","day.32","day.33","day.34","day.35","day.36","day.37","day.38","day.39","day.40","day.41","day.42","day.43","day.44","day.45","day.46","day.47","day.48","day.49","day.50","day.51","day.52","day.53","day.54","day.55","day.56","day.57","day.58","day.59","day.60","day.61","day.62","day.63","day.64","day.65","day.66","day.67","day.68"
"mu0.1k0.5",0.99,0.13,"b",NA,"2","sample","17.59","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","9.73","0","3","0","0","0","4","3","1","0","6","0","2","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","1","0","0","0","sample",NA,"insects",NA
"mu0.2k0.5",1.98,0.13,"c",NA,NA,"2","sample","34.2","0","0","0","0","0","0","0","0","0","0","2","0","2","0","2","0","8","0","0","0","0","0","0","0","0","0","0","0","19.08","0","5","0","0","0","7","6","1","0","18.39","0","4","0","0","0","0","0","0","3","3","0","1","0","1","0","0","0","1","0","1","0","sample",NA,"insects"
"mu0.4k0.5",3.96,0.13,"b",NA,"2","sample","67.4","0","0","0","0","0","0","1","0","0","0","4","0","3","0","5","0","21.62","0","0","0","0","0","0","0","0","0","0","0","36.28","0","9","0","0","0","20","10","3","0","26.07","0","8","0","0","1","0","0","1","6","7","0","2","0","1","1","0","0","2","0","2","0","sample",NA,"insects",NA
"mu0.6k0.5",5.94,0.13,"c",NA,NA,"2","sample","100.59","0","0","1","0","0","0","2","0","0","0","6","0","5","0","7","0","29.9","1","0","0","0","0","0","0","0","0","0","0","54.16","0","19.19","0","0","0","23.7","23.6","4","0","38.91","0","10","0","0","1","0","0","1","8","9","0","3","0","2","1","0","0","3","0","2","0","sample",NA,"insects"
"mu0.8k0.5",7.92,0.13,"a","2","sample","133.79","0","0","1","0","0","0","2","0","0","0","7","0","6","0","8","0","43.3","1","0","0","0","0","0","0","0","0","0","0","72.05","0","25.53","0","0","0","39.76","31.56","5","0","51.76","0","11","0","0","1","0","1","1","9","10","0","3","0","2","2","0","0","4","0","3","0","sample",NA,"insects",NA,NA
"mu1k0.5",9.9,0.13,"a","2","sample","166.98","0","0","1","0","0","0","3","0","0","0","10","0","9","0","11","0","49.64","1","0","0","0","0","0","0","0","0","0","0","89.93","0","26.13","0","0","0","39.41","31.89","8","0","64.61","0","21.59","0","1","2","0","1","2","11.35","17.92","0","6","0","4","3","0","0","7","0","5","0","sample",NA,"insects",NA,NA
"mu1.5k0.5",14.84,0.13,"b",NA,"2","sample","249.96","0","0","2","0","0","0","5","0","0","0","14.3","0","11","1","18.68","0","74.33","2","0","0","0","0","0","0","0","0","0","0","134.63","0","39.16","0","0","0","59.01","47.76","10","0","96.75","0","32.33","0","1","3","0","1","3","22.39","26.87","0","8","0","6","4","1","0","9","0","7","0","sample",NA,"insects",NA
"mu2k0.5",19.79,0.13,"b",NA,"2","sample","332.95","0","0","2","0","0","0","6","0","0","0","20.85","0","17.44","1","24.94","0","99.02","3","0","0","0","0","0","0","0","0","0","0","179.33","0","52.15","0","0","0","78.62","63.64","17.36","0","128.88","0","43.09","0","1","3","0","2","4","29.84","35.81","0","9","1","7","5","1","0","10","0","8","0","sample",NA,"insects",NA
"mu2.5k0.5",24.74,0.13,"b",NA,"2","sample","415.92","0","0","3","0","0","0","7","0","0","1","26.05","0","21.81","1","31.19","0","123.71","3","0","0","0","0","0","0","0","0","0","0","224.03","0","65.16","0","0","0","98.22","79.51","19.88","0","161.01","0","53.84","0","2","4","0","2","5","37.3","44.74","0","10","1","8","6","1","0","18.25","0","9","0.5","sample",NA,"insects",NA
"mu3k0.5",29.69,0.13,"c",NA,NA,"2","sample","498.91","0","1","3","0","0","0","8","0","0","1","31.3","0","26.16","2","37.4","0","148.39","4","0","0","0","0","0","0","0","0","0","0","268.74","0","78.18","0","0","0","117.83","95.38","21.89","0","193.14","0","64.6","0","2","5","0","3","6","44.76","53.67","0","18.3","1","9","7","1","0","18.72","0","10","1","sample",NA,"insects"
