trt.name	mu	k	temporal.block	day.1	day.2	day.3	day.4	day.5	day.6	day.7	day.8	day.9	day.10	day.11	day.12	day.13	day.14	day.15	day.16	day.17	day.18	day.19	day.20	day.21	day.22	day.23	day.24	day.25	day.26	day.27	day.28	day.29	day.30	day.31	day.32	day.33	day.34	day.35	day.36	day.37	day.38	day.39	day.40	day.41	day.42	day.43	day.44	day.45	day.46	day.47	day.48	day.49	day.50	day.51	day.52	day.53	day.54	day.55	day.56	day.57	day.58	day.59	day.60	day.61	day.62	day.63	day.64	day.65	day.66	day.67	day.68
mu0.1k0.5	0.76	0.1	c	NA	NA	1	sample	15.8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	5	0	0	9.3	0	0	0	0	0	0	3	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sample	NA	insects
mu0.2k0.5	1.51	0.1	b	NA	1	sample	30.8	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	3	0	0	7	0	0	0	0	0	0	10.96	0	0	15.53	0	0	0	0	0	0	6	1	0	0	4	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	sample	NA	insects	NA
mu0.4k0.5	3.02	0.1	b	NA	1	sample	60.73	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	4	6	0	0	15.43	0	0	0	0	0	0	20.98	0	0	30.63	0	0	0	0	0	1	11.87	3	0	0	7	1	0	8	1	0	0	0	0	0	0	0	0	0	1	2	0	0	sample	NA	insects	NA
mu0.6k0.5	4.53	0.1	b	NA	1	sample	90.67	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	6	8	0	0	23.02	0	0	0	0	1	0	31.34	0	0	45.73	0	0	0	0	0	1	17.54	5	0	0	8.12	2	0	13.57	1	0	0	1	0	0	0	0	0	0	2	4	0	0	sample	NA	insects	NA
mu0.8k0.5	6.05	0.1	b	NA	1	sample	120.61	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	0	7	10.94	0	0	30.66	1	0	0	0	1	0	41.68	0	0	60.84	0	0	0	0	0	1	23.32	6	0	0	14.23	3	0	18.07	2	0	0	1	0	0	0	0	0	0	2	5	0	0	sample	NA	insects	NA
mu1k0.5	7.56	0.1	b	NA	1	sample	150.53	0	0	0	0	10.4	0	5	0	0	0	0	0	0	0	0	0	0	8	14.06	0	0	38.26	1	0	0	0	1	0	52.02	0	0	75.94	0	0	0	0	0	2	29.13	7	0	0	17.75	4	0	22.58	2	0	0	1	0	0	0	0	1	0	3	6	0	0	sample	NA	insects	NA
mu1.5k0.5	11.33	0.1	c	NA	NA	1	sample	225.37	0	0	0	0	20.51	0	6	0	0	0	0	0	0	0	0	0	0	16.71	21.03	0	0	57.3	1	0	0	0	1	0	77.9	0	0	113.69	0	0	0	0	0	2	43.61	8	0	0	26.6	5	0	33.84	3	0	0	2	0	0	0	1	1	0	4	7	0	0	sample	NA	insects
mu2k0.5	15.11	0.1	c	NA	NA	1	sample	300.21	0	0	0	0	23.97	0	7	0	0	0	0	0	0	0	0	0	0	22.29	28.03	0	0	76.33	1	0	0	0	2	0	103.77	0	0	151.45	0	0	0	0	0	3	58.1	17.76	0	0	35.44	6	0	45.1	4	0	0	2	0	0	0	1	1	0	5	8	1	0	sample	NA	insects
mu2.5k0.5	18.89	0.1	c	NA	NA	1	sample	375.04	0	0	0	0	27.86	0	9.91	0	0	0	0	0	0	0	0	0	0	22.2	35.03	0	0	95.37	2	0	0	0	3	0	129.65	0	0	189.2	1	0	0	0	0	5	72.59	17.7	0	0	44.27	8	0	56.35	6	0	0	4	0	0	0	1	2	0	7	14.14	1	0	sample	NA	insects
mu3k0.5	22.67	0.1	a	1	sample	449.88	0	0	0	0	33.42	0	13.48	0	0	1	0	0	0	0	0	0	0	26.64	42.04	0	0	114.4	3	0	0	0	4	0	155.52	0	0	226.95	1	0	0	0	0	6	87.09	21.24	0	0	53.11	8	0	67.6	6.88	0	0	5	0	0	0	2	2	0	7	16.94	1	0	sample	NA	insects	NA	NA
