,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,0.0,0.0,16.0,13.0,0.0,1.0,25.0,0.0,11.0,5.7,2.0,2.0,5.0,16.0,0.0,8.0,14.0
2,0.0,21.0,53.0,11.0,2.0,0.0,1.0,0.0,9.5,11.0,1.0,12.0,1.0,17.0,17.5,0.0,0.0
3,0.0,3.0,26.0,1.0,14.0,0.0,11.0,0.0,2.3,0.0,18.0,25.0,3.5,22.0,0.0,0.0,8.2
4,6.0,8.0,11.0,18.0,2.0,3.0,1.0,0.0,0.0,0.0,20.0,16.5,2.0,2.0,13.0,2.0,0.0
5,10.0,0.0,13.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,22.0,24.0,1.0,0.0,22.0,14.0,7.3
6,0.0,2.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,23.0,1.4,26.0
7,25.0,18.0,0.0,25.0,0.0,0.0,10.0,9.0,0.0,7.0,3.5,7.0,4.0,21.0,40.0,6.4,29.0
8,3.0,0.0,0.0,12.0,0.0,2.0,25.0,16.0,13.0,8.0,2.4,5.0,20.0,18.0,2.5,10.0,20.0
9,6.0,0.0,12.0,30.0,0.0,0.0,5.0,32.0,7.3,1.0,7.0,0.0,4.0,9.0,4.6,24.0,12.0
10,5.5,0.0,21.0,7.5,7.0,0.0,35.0,11.0,13.5,0.0,9.3,13.0,15.0,0.0,7.9,6.5,35.2
11,0.0,70.5,21.0,40.0,11.0,2.0,9.0,42.0,8.0,18.0,14.6,0.0,67.0,18.0,18.5,18.0,29.0
12,20.0,0.0,30.0,10.0,4.0,1.5,13.0,9.0,17.5,13.0,0.0,1.5,23.0,35.0,19.0,14.0,2.0
13,6.0,0.0,8.0,4.0,2.0,2.0,3.0,49.0,48.3,2.0,25.0,1.9,7.0,24.0,29.3,0.0,2.5
14,19.0,7.0,3.0,5.0,4.0,13.5,6.0,3.0,46.0,0.0,0.0,0.0,6.0,19.0,0.0,3.0,16.3
15,0.0,6.0,4.0,4.0,8.0,30.0,28.0,38.0,42.0,6.5,0.0,0.0,12.0,44.0,15.0,33.0,0.5
16,0.0,2.0,21.0,0.0,4.5,2.0,3.0,2.0,5.2,0.0,2.0,7.0,0.0,26.0,0.0,17.5,0.2
17,0.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,13.0,2.0,0.0,29.0,3.0,6.5,1.0
18,18.0,15.0,45.0,0.0,5.0,10.0,28.0,2.0,4.0,0.0,17.0,16.0,0.0,0.0,2.0,32.0,21.0
19,0.0,20.0,4.0,1.0,0.0,6.0,15.0,33.0,38.0,0.0,0.0,22.0,1.0,0.0,0.2,53.0,4.0
20,1.0,40.0,3.0,1.0,3.5,1.0,31.0,8.0,32.0,2.7,9.7,17.0,27.0,10.2,1.0,35.0,1.0
21,52.0,38.0,8.0,0.0,10.0,0.0,2.0,35.0,0.0,0.0,0.0,13.5,29.0,0.0,0.0,42.5,10.0
22,3.0,39.0,0.0,0.0,6.5,9.0,3.0,2.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5
23,8.0,20.0,2.0,5.0,0.0,2.0,8.0,10.0,4.0,25.0,4.0,9.0,27.0,4.5,1.0,28.0,17.0
24,20.0,25.0,7.0,56.0,3.0,28.0,48.0,12.0,6.0,15.0,5.2,15.0,3.0,5.0,2.0,8.2,1.0
25,4.0,18.0,16.0,18.0,2.0,0.0,11.0,37.2,4.0,17.0,17.0,8.5,15.0,0.0,21.0,26.0,0.0
26,0.0,15.0,0.0,10.0,0.0,0.0,13.0,13.5,2.4,8.0,10.6,13.0,8.0,2.0,12.0,0.0,1.2
27,0.0,10.0,14.0,10.0,1.0,1.0,10.0,0.0,14.2,1.0,0.0,0.0,5.0,0.0,4.5,6.5,10.0
28,3.0,0.0,1.0,2.0,17.0,0.0,6.0,0.0,2.0,8.0,9.0,0.0,1.0,9.0,3.0,9.0,23.0
29,0.0,0.0,1.0,2.7,0.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,2.5,7.2,7.0,2.0,7.0
30,0.0,0.0,3.0,11.0,7.0,0.0,8.0,0.0,2.4,5.0,18.0,19.0,0.0,0.0,32.0,0.0,30.0
31,15.0,0.0,12.0,3.5,23.0,3.0,0.0,0.0,7.3,0.0,10.0,26.0,22.0,17.0,3.5,15.5,10.0
32,13.0,0.0,7.0,11.0,2.0,6.0,6.0,0.0,2.0,32.0,5.0,14.0,3.7,29.0,23.0,2.0,26.0
33,34.0,5.0,45.0,3.0,0.0,12.0,4.0,9.0,9.3,39.0,20.0,7.0,20.0,36.0,59.0,2.5,3.0
34,0.0,0.0,18.0,7.0,0.0,0.0,0.0,0.4,22.0,0.0,32.5,1.6,5.0,13.0,0.0,3.2,17.0
35,8.0,0.0,23.0,30.0,16.0,0.0,0.0,3.0,35.0,19.0,18.5,0.0,35.0,16.0,20.0,1.5,11.0
36,9.0,0.0,0.0,41.0,5.0,21.0,0.0,0.0,0.0,12.0,15.0,7.5,0.0,0.0,0.0,0.0,7.0
37,24.0,38.0,18.0,4.0,5.0,2.0,3.0,0.0,0.0,10.0,11.0,7.0,0.0,9.0,1.0,0.0,12.0
38,16.0,0.0,0.0,30.0,6.1,27.0,4.0,3.0,0.0,0.0,23.0,5.0,1.0,0.0,11.0,3.0,16.0
39,0.0,0.0,3.0,56.0,1.0,7.0,16.0,5.1,0.0,0.0,19.0,6.5,0.0,7.0,0.0,2.0,1.0
40,0.0,12.0,0.0,1.0,4.0,0.0,0.0,8.0,9.2,0.0,37.0,9.6,0.0,0.3,0.0,0.0,0.0
