"trt.name","intended.mu","intended.k","temporal.block","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
"mu0.1k0.5",1.34,0.27,"b",NA,6.5,NA,NA,NA,16.01,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,8,0,0,0,5,5.43,0,4,4,1,0,1,3,1,0,0,0,0,0,0,2,1,1,7,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,1,0,NA
"mu0.2k0.5",2.68,0.27,"b",NA,6.5,NA,NA,NA,30.75,1,0,0,6,0,1,1,4,0,0,0,0,0,0,0,3,0,18.85,0,1,0,9,10,0,7,8,2,0,2,5,2,1,0,0,0,0,0,4,2,3,17.29,11,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,5,1,0,NA
"mu0.4k0.5",5.36,0.27,"c",NA,NA,6.5,NA,NA,NA,60.23,2,0,0,11,0,1,2,8,0,0,0,0,1,0,0,6,0,42.81,0,1,1,14,15,0,12,13,3,0,4,9,5,2,1,0,1,0,0,7,4,5,36.94,28.81,0,0,0,0,0,0,0,0,0,0,3,6,2,0,1,10,3,1
"mu0.6k0.5",8.04,0.27,"c",NA,NA,6.5,NA,NA,NA,89.69,4,0,1,15,0,2,3,12,0,0,0,0,1,0,0,9,0,55.04,0,2,1,30.11,35.48,0,16,17,5,0,6,13,7,3,1,0,2,0,1,11,6,8,44.41,42.95,0,1,0,0,0,0,0,0,0,0,4,10,3,0,2,14,5,1.5
"mu0.8k0.5",10.73,0.27,"a",6.5,NA,NA,NA,119.15,5,0,1,18,0,3,3,15,0,0,0,0,2,0,0,12,1,73.14,0,3,1,40.05,45.1,0,30.28,34.63,7,0,9,16,10,4,2,0,2,0,1,14,8,11,57.09,47.13,0,1,0,0,0,0,0,0,0,1,5,13,4,0,2,17,6,2,NA,NA
"mu1k0.5",13.41,0.27,"c",NA,NA,6.5,NA,NA,NA,148.61,6,0,2,33.3,0,3.69,4,17,0,0,0,0,2,0,0,14,1,91.23,0,4,2,43.21,49.99,0,37.8,43.08,9,0,11,18,12,5,3,0,3,0,1,16,10,13,71.21,58.82,0,1,1,0,0,0,0,0,0,1,7,15,5,0,3,29.53,8,3
"mu1.5k0.5",20.11,0.27,"a",6.5,NA,NA,NA,222.26,10,0,2,44.24,0,5,7,35.22,0,0,0,0,3,0,0,18,1,136.47,0,6,3,64.67,74.8,0,49.87,56.55,13,0,15,37.82,16,8,4,0,4,0,2,31.54,14,17,106.54,88.01,1,2,1,0,0,0,0,0,0,1,11,28.31,9,1,5,39.4,12,4,NA,NA
"mu2k0.5",26.82,0.27,"b",NA,6.5,NA,NA,NA,295.91,12,0,3,58.93,0,7,9,46.92,0,0,0,0,4,0,0,33.9,2,181.71,0,8,3,86.13,99.61,0,66.44,75.34,15,0,17,52.5,18,10,4,0,5,0,2,42.03,16,30.49,141.86,117.2,1,2,1,0,0,1,0,0,0,1,13,37.74,11,1,6,56.24,14,4.5,NA
"mu2.5k0.5",33.52,0.27,"c",NA,NA,6.5,NA,NA,NA,369.55,14,0,4,73.63,0,9,11,53.82,0,0,0,1,5,0,0,42.37,2,226.95,0,10,4,107.6,124.43,0,82.99,94.11,17,0,30.83,58.64,34.32,12,6,0,7,0,3,52.52,18,38.11,177.19,146.39,1,3,2,0,0,1,0,0,0,2,15,47.16,13,1,8,65.58,16,6.5
"mu3k0.5",40.22,0.27,"a",6.5,NA,NA,NA,443.2,15,1,4,88.31,0,10,12,63.02,0,0,0,1,6,0,0,50.84,3,272.18,0,11,5,129.06,149.24,0,99.56,112.88,29.94,0,37.03,70.34,41.13,13,7,0,8,0,3,57.26,33.33,45.74,212.52,175.58,2,4,2,0,0,1,0,0,0,2,16,56.58,14,1,9,78.69,17,7.5,NA,NA
