"trt.name","mu","k","temporal.block","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62"
"mu0.1k0.5",1.34,0.27,"b",NA,1,0,0,0,0,0,1,3,6,0,0,0,0,1,0,0,0,5,5.43,0,3,8,0,4,1,0,0,2,0,0,0,4,0,0,0,1,0,2,0,2,0,0,0,0,1,2,0,7,1,0,0,0,0,0,0,1,0,0,3,16.01,NA
"mu0.2k0.5",2.68,0.27,"a",3,0,0,0,0,0,2,5,11,0,0,1,0,2,0,0,1,9,10,0,6,18.85,0,8,2,0,1,4,0,0,0,7,0,0,1,1,0,4,0,3,0,1,0,0,1,3,0,17.29,2,0,0,0,0,0,0,1,0,0,5,30.75,NA,NA
"mu0.4k0.5",5.36,0.27,"b",NA,5,0,0,0,0,0,4,10,28.81,0,1,2,0,3,0,0,1,14,15,1,11,42.81,0,13,5,0,1,8,0,0,0,12,0,0,2,3,0,7,0,6,0,2,0,1,3,6,0,36.94,4,0,0,0,1,0,1,2,0,0,9,60.23,NA
"mu0.6k0.5",8.04,0.27,"c",NA,NA,8,0,0,0,0,1,6,14,42.95,0,2,3,0,5,0,0,2,30.11,35.48,2,15,55.04,0,17,7,0,2,12,0,0,0,16,0,1,3,5,0,11,1,9,0,3,0,1,4,10,0,44.41,6,0,0,0,1,0,1,4,0,0,13,89.69
"mu0.8k0.5",10.73,0.27,"c",NA,NA,11,0,0,0,0,1,9,17,47.13,0,2,3,0,7,0,0,3,40.05,45.1,2,18,73.14,0,34.63,10,1,3,15,1,0,0,30.28,0,1,4,6,0,14,1,12,0,4,0,2,5,13,0,57.09,8,0,0,0,1,0,2,5,0,0,16,119.15
"mu1k0.5",13.41,0.27,"c",NA,NA,13,0,0,0,0,2,11,29.53,58.82,0,3,4,0,9,0,1,3.69,43.21,49.99,3,33.3,91.23,0,43.08,12,1,4,17,1,0,0,37.8,0,1,5,8,0,16,1,14,0,5,0,2,7,15,0,71.21,10,0,0,0,2,0,3,6,0,0,18,148.61
"mu1.5k0.5",20.11,0.27,"a",17,0,1,0,0,2,15,39.4,88.01,0,4,7,0,13,0,1,5,64.67,74.8,5,44.24,136.47,0,56.55,16,1,6,35.22,1,0,0,49.87,0,2,9,12,0,31.54,2,18,0,8,0,3,11,28.31,0,106.54,14,0,0,0,3,1,4,10,0,0,37.82,222.26,NA,NA
"mu2k0.5",26.82,0.27,"b",NA,30.49,0,1,0,0,3,17,56.24,117.2,0,5,9,0,15,0,1,7,86.13,99.61,6,58.93,181.71,0,75.34,18,2,8,46.92,1,0,0,66.44,0,2,11,14,1,42.03,2,33.9,0,10,0,4,13,37.74,0,141.86,16,0,0,0,3,1,4,12,0,0,52.5,295.91,NA
"mu2.5k0.5",33.52,0.27,"a",38.11,0,1,0,0,4,30.83,65.58,146.39,0,7,11,0,17,0,2,9,107.6,124.43,8,73.63,226.95,0,94.11,34.32,2,10,53.82,2,0,0,82.99,1,3,13,16,1,52.52,3,42.37,0,12,0,5,15,47.16,0,177.19,18,0,0,0,4,1,6,14,0,0,58.64,369.55,NA,NA
"mu3k0.5",40.22,0.27,"b",NA,45.74,0,2,1,0,4,37.03,78.69,175.58,0,8,12,0,29.94,0,2,10,129.06,149.24,9,88.31,272.18,0,112.88,41.13,3,11,63.02,2,0,0,99.56,1,3,14,17,1,57.26,4,50.84,0,13,0,6,16,56.58,0,212.52,33.33,0,0,0,5,1,7,15,0,0,70.34,443.2,NA
"mu0.1k1",1.34,0.53,"a",2,0,0,0,0,0,1,3,5,0,0,1,0,1,0,0,1,4,5,1,3,7,0,4,2,0,1,2,0,0,0,3,0,0,1,1,0,2,0,2,0,1,0,0,1,2,0,6,1,0,0,0,0,0,0,1,0,0,3,13.45,NA,NA
"mu0.2k1",2.68,0.53,"b",NA,3,0,0,0,0,1,3,5,9,0,1,2,0,3,0,0,1,7,8,1,6,11,0,7,3,1,2,5,0,0,0,6,0,1,2,2,0,4,1,4,0,2,0,1,2,4,0,10,3,0,0,0,1,0,1,2,0,0,5,30.89,NA
"mu0.4k1",5.36,0.53,"c",NA,NA,7,0,1,0,0,2,6,11,17,0,2,3,0,5,0,1,3,15,16,3,12,27.43,0,14,7,1,3,9,1,0,0,13,1,1,4,5,1,9,2,8,0,4,0,2,5,8,0,26.76,6,0,0,0,2,1,2,4,0,0,10,40.6
"mu0.6k1",8.04,0.53,"c",NA,NA,10,0,1,1,0,3,9,16,33.49,0,4,5,0,8,0,2,4,20,21,4,17,46.47,0,19,9,2,5,14,2,1,0,18,1,2,6,7,1,13,2,11,0,5,1,3,7,12,0,40.62,8,0,0,0,3,1,3,6,0,0,15,60.11
"mu0.8k1",10.73,0.53,"c",NA,NA,14,0,2,1,1,4,12,20,44.4,0,5,7,0,10,0,2,6,34.03,38.41,5,21,53.82,1,23,13,3,6,18,3,1,0,22,1,3,8,9,2,17,3,15,0,7,1,4,9,16,0,49.32,11,0,0,0,4,2,5,8,0,0,19,79.6
